,composition,Atoms,reduced_formula,mp-id,icsd_id,Make,Matches,0
879,Cs1Sn1Cl5,"[1, 1, 5]",CsSnCl5,[],[],False,False,
880,Cs1Sn2Cl9,"[1, 2, 9]",CsSn2Cl9,[],[],False,False,
881,Cs1Sn3Cl13,"[1, 3, 13]",CsSn3Cl13,[],[],False,False,
882,Cs2Sn1Cl6,"[2, 1, 6]",Cs2SnCl6,mp-608555,"[9023, 26699, 29030]",True,True,
883,Cs2Sn3Cl14,"[2, 3, 14]",Cs2Sn3Cl14,[],[],False,False,
884,Cs3Sn1Cl7,"[3, 1, 7]",Cs3SnCl7,[],[],False,False,
885,Cs3Sn2Cl11,"[3, 2, 11]",Cs3Sn2Cl11,[],[],False,False,
886,Cs4Sn1Cl8,"[4, 1, 8]",Cs4SnCl8,[],[],False,False,
887,Cs5Sn1Cl9,"[5, 1, 9]",Cs5SnCl9,[],[],False,False,
888,Cs5Sn2Cl13,"[5, 2, 13]",Cs5Sn2Cl13,[],[],False,False,
889,Cs6Sn1Cl10,"[6, 1, 10]",Cs6SnCl10,[],[],False,False,
890,Cs7Sn1Cl11,"[7, 1, 11]",Cs7SnCl11,[],[],False,False,
891,Cs1In1Br4,"[1, 1, 4]",CsInBr4,[],[],False,True,
892,Cs1In2Br7,"[1, 2, 7]",CsIn2Br7,[],[],False,True,
893,Cs1In3Br10,"[1, 3, 10]",CsIn3Br10,[],[],False,False,
894,Cs1In4Br13,"[1, 4, 13]",CsIn4Br13,[],[],False,False,
895,Cs2In1Br5,"[2, 1, 5]",Cs2InBr5,[],[],False,True,
896,Cs2In3Br11,"[2, 3, 11]",Cs2In3Br11,[],[],False,False,
897,Cs3In1Br6,"[3, 1, 6]",Cs3InBr6,mp-1112651,[],True,True,
898,Cs3In2Br9,"[3, 2, 9]",Cs3In2Br9,[],[],False,True,
899,Cs4In1Br7,"[4, 1, 7]",Cs4InBr7,[],[],False,False,
900,Cs4In3Br13,"[4, 3, 13]",Cs4In3Br13,[],[],False,False,
901,Cs5In1Br8,"[5, 1, 8]",Cs5InBr8,[],[],False,False,
902,Cs5In2Br11,"[5, 2, 11]",Cs5In2Br11,[],[],True,False,
903,Cs6In1Br9,"[6, 1, 9]",Cs6InBr9,[],[],False,False,
904,Cs7In1Br10,"[7, 1, 10]",Cs7InBr10,[],[],False,False,
905,Cs8In1Br11,"[8, 1, 11]",Cs8InBr11,[],[],False,False,
906,Cs1In1I4,"[1, 1, 4]",CsInI4,mp-607987,[36602],True,True,
907,Cs1In2I7,"[1, 2, 7]",CsIn2I7,[],[],False,True,
908,Cs1In3I10,"[1, 3, 10]",CsIn3I10,[],[],False,False,
909,Cs1In4I13,"[1, 4, 13]",CsIn4I13,[],[],False,False,
910,Cs2In1I5,"[2, 1, 5]",Cs2InI5,[],[],True,True,
911,Cs2In3I11,"[2, 3, 11]",Cs2In3I11,[],[],False,False,
912,Cs3In1I6,"[3, 1, 6]",Cs3InI6,mp-1112969,[],True,True,
913,Cs3In2I9,"[3, 2, 9]",Cs3In2I9,[],[],True,True,
914,Cs4In1I7,"[4, 1, 7]",Cs4InI7,[],[],False,False,
915,Cs4In3I13,"[4, 3, 13]",Cs4In3I13,[],[],True,False,
916,Cs5In1I8,"[5, 1, 8]",Cs5InI8,[],[],False,False,
917,Cs5In2I11,"[5, 2, 11]",Cs5In2I11,[],[],True,False,
918,Cs6In1I9,"[6, 1, 9]",Cs6InI9,[],[],False,False,
919,Cs7In1I10,"[7, 1, 10]",Cs7InI10,[],[],False,False,
920,Cs8In1I11,"[8, 1, 11]",Cs8InI11,[],[],False,False,
921,Cs1In1Cl4,"[1, 1, 4]",CsInCl4,[],[],False,True,
922,Cs1In2Cl7,"[1, 2, 7]",CsIn2Cl7,[],[],False,True,
923,Cs1In3Cl10,"[1, 3, 10]",CsIn3Cl10,[],[],False,False,
924,Cs1In4Cl13,"[1, 4, 13]",CsIn4Cl13,[],[],False,False,
925,Cs2In1Cl5,"[2, 1, 5]",Cs2InCl5,[],[],True,True,
926,Cs2In3Cl11,"[2, 3, 11]",Cs2In3Cl11,[],[],False,False,
927,Cs3In1Cl6,"[3, 1, 6]",Cs3InCl6,mp-1112991,[],True,True,
928,Cs3In2Cl9,"[3, 2, 9]",Cs3In2Cl9,mp-27172,[2491],True,True,
929,Cs4In1Cl7,"[4, 1, 7]",Cs4InCl7,[],[],False,False,
930,Cs4In3Cl13,"[4, 3, 13]",Cs4In3Cl13,[],[],True,False,
931,Cs5In1Cl8,"[5, 1, 8]",Cs5InCl8,[],[],False,False,
932,Cs5In2Cl11,"[5, 2, 11]",Cs5In2Cl11,[],[],True,False,
933,Cs6In1Cl9,"[6, 1, 9]",Cs6InCl9,[],[],False,False,
934,Cs7In1Cl10,"[7, 1, 10]",Cs7InCl10,[],[],False,False,
935,Cs8In1Cl11,"[8, 1, 11]",Cs8InCl11,[],[],False,False,
936,,,,,,,,composition
937,,,,,,,,Atoms
938,,,,,,,,reduced_formula
939,,,,,,,,mp-id
940,,,,,,,,icsd_id
941,,,,,,,,Make
942,,,,,,,,Matches
